::1 - - [23/May/2022:16:38:42 +0000] "GET /api/get-user-games/100 HTTP/1.1" 404 68 "{\"message\":\"User Game dengan ID 100 Tidak di temukan\",\"result\":null}"
::1 - - [23/May/2022:16:46:00 +0000] "POST /api/login HTTP/1.1" 200 400 "{\"id_user\":1,\"username\":\"imam\",\"email\":\"imam@mail.com\",\"password\":\"$2b$10$rHJRSeA8WdOUgvGYyo4Y1ONXurs2HbfmrTlYA4EVaLDvEAMKVndU.\",\"avatar\":null,\"token\":\"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZF91c2VyIjoxLCJ1c2VybmFtZSI6ImltYW0iLCJpYXQiOjE2NTMzMjQzNjAsImV4cCI6MTY1MzMyNTI2MH0.svj0RIS8MWIiutvyqQUdR04qf7rdJIRvf_3IBFRXCM8\",\"createdAt\":\"2022-05-23T13:06:27.210Z\",\"updatedAt\":\"2022-05-23T13:06:27.210Z\"}"
::1 - - [23/May/2022:16:46:17 +0000] "GET /api/get-user-games/100 HTTP/1.1" 404 68 "{\"message\":\"User Game dengan ID 100 Tidak di temukan\",\"result\":null}"
::1 - - [23/May/2022:16:46:51 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [23/May/2022:16:46:51 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [23/May/2022:16:46:51 +0000] "GET /view/usergames/create HTTP/1.1" 302 56 -
::1 - - [23/May/2022:16:46:51 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [23/May/2022:16:46:51 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [23/May/2022:16:46:51 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [23/May/2022:16:46:53 +0000] "POST /login HTTP/1.1" 302 54 -
::1 - - [23/May/2022:16:46:53 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [23/May/2022:16:46:53 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [23/May/2022:16:46:53 +0000] "GET /login HTTP/1.1" 302 27 -
::1 - - [23/May/2022:16:46:53 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [23/May/2022:16:46:56 +0000] "GET /view/usergames/create HTTP/1.1" 200 5120 -
::1 - - [23/May/2022:16:46:56 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [23/May/2022:16:46:56 +0000] "GET /login HTTP/1.1" 302 27 -
::1 - - [23/May/2022:16:46:56 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [23/May/2022:16:47:05 +0000] "POST /view/usergames HTTP/1.1" 415 1342 -
::1 - - [23/May/2022:16:47:05 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [23/May/2022:16:47:05 +0000] "GET /login HTTP/1.1" 302 27 -
::1 - - [23/May/2022:16:47:05 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [23/May/2022:16:47:10 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [23/May/2022:16:47:10 +0000] "GET /login HTTP/1.1" 302 27 -
::1 - - [23/May/2022:16:47:10 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [23/May/2022:16:47:25 +0000] "POST /view/usergames HTTP/1.1" 302 54 -
::1 - - [23/May/2022:16:47:25 +0000] "GET /view HTTP/1.1" 200 6994 -
::1 - - [23/May/2022:16:47:25 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [23/May/2022:16:47:25 +0000] "GET /login HTTP/1.1" 302 27 -
::1 - - [23/May/2022:16:47:25 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [24/May/2022:06:24:08 +0000] "GET / HTTP/1.1" 302 56 -
::1 - - [24/May/2022:06:24:09 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [24/May/2022:06:24:09 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [24/May/2022:06:24:09 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [24/May/2022:06:24:12 +0000] "POST /login HTTP/1.1" 302 54 -
::1 - - [24/May/2022:06:24:13 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [24/May/2022:06:24:13 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [24/May/2022:06:24:13 +0000] "GET /login HTTP/1.1" 302 27 -
::1 - - [24/May/2022:06:24:13 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [24/May/2022:06:24:21 +0000] "GET /view/usergames/update/3 HTTP/1.1" 200 5203 -
::1 - - [24/May/2022:06:24:22 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [24/May/2022:06:24:22 +0000] "GET /login HTTP/1.1" 302 27 -
::1 - - [24/May/2022:06:24:22 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [24/May/2022:06:24:47 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [24/May/2022:06:24:47 +0000] "GET /login HTTP/1.1" 302 27 -
::1 - - [24/May/2022:06:24:47 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [24/May/2022:06:24:48 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [24/May/2022:06:24:48 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [24/May/2022:06:24:48 +0000] "GET /login HTTP/1.1" 302 27 -
::1 - - [24/May/2022:06:24:48 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [24/May/2022:06:24:51 +0000] "GET /view/usergames/update/3 HTTP/1.1" 200 5194 -
::1 - - [24/May/2022:06:24:51 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [24/May/2022:06:24:51 +0000] "GET /login HTTP/1.1" 302 27 -
::1 - - [24/May/2022:06:24:51 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [24/May/2022:06:27:09 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [24/May/2022:06:27:09 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [24/May/2022:06:27:12 +0000] "GET /view/usergames/update/3 HTTP/1.1" 302 56 -
::1 - - [24/May/2022:06:27:12 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [24/May/2022:06:27:12 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [24/May/2022:06:27:12 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [24/May/2022:06:27:14 +0000] "POST /login HTTP/1.1" 302 54 -
::1 - - [24/May/2022:06:27:14 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [24/May/2022:06:27:14 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [24/May/2022:06:27:14 +0000] "GET /login HTTP/1.1" 302 27 -
::1 - - [24/May/2022:06:27:14 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [24/May/2022:06:27:16 +0000] "GET /view/usergames/update/3 HTTP/1.1" 200 5231 -
::1 - - [24/May/2022:06:27:17 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [24/May/2022:06:27:17 +0000] "GET /login HTTP/1.1" 302 27 -
::1 - - [24/May/2022:06:27:17 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [24/May/2022:06:35:32 +0000] "GET /view/usergames/update/3 HTTP/1.1" 302 56 -
::1 - - [24/May/2022:06:35:32 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [24/May/2022:06:35:32 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [24/May/2022:06:35:32 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [24/May/2022:06:35:34 +0000] "POST /login HTTP/1.1" 302 54 -
::1 - - [24/May/2022:06:35:34 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [24/May/2022:06:35:34 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [24/May/2022:06:35:34 +0000] "GET /login HTTP/1.1" 302 27 -
::1 - - [24/May/2022:06:35:34 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [24/May/2022:06:35:37 +0000] "GET /view/usergames/update/3 HTTP/1.1" 200 5231 -
::1 - - [24/May/2022:06:35:37 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [24/May/2022:06:35:37 +0000] "GET /login HTTP/1.1" 302 27 -
::1 - - [24/May/2022:06:35:37 +0000] "GET /view HTTP/1.1" 304 - -
::1 - - [24/May/2022:06:37:06 +0000] "GET /view HTTP/1.1" 302 56 -
::1 - - [24/May/2022:06:37:07 +0000] "GET /login HTTP/1.1" 200 1797 -
::1 - - [24/May/2022:06:37:08 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
::1 - - [24/May/2022:06:37:08 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [24/May/2022:06:37:23 +0000] "GET /login HTTP/1.1" 304 - -
::1 - - [24/May/2022:06:37:24 +0000] "GET /favicon.ico HTTP/1.1" 302 28 -
